code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
ACDSF,Ascendas Real Estate Investment Trust,2.0,15,6,9,13,6,9,5,63,2.0,68.0,Moderate,Enter w/ caution,39,4.7,3.1,2.3,56.0,0,,Real Estate,9982722048.0,13083.79
MPZZF,MPC Container Ships ASA,2.75,17,12,5,17,6,10,5,72,0.0,68.0,Moderate,Enter w/ caution,75,10.4,2.6,9.3,62.1,0,,Industrials,1225119488.0,13894.32
BDN,Brandywine Realty Trust,3.17,14,12,11,11,7,11,4,70,-2.0,68.0,Moderate,Enter w/ caution,42,2.3,6.4,3.9,61.8,1,,Real Estate,541980928.0,3005449.97
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,4.74,11,16,6,12,8,4,3,60,2.0,67.0,Moderate,🔥 COILED: Enter w/ caution,29,-2.7,5.6,3.4,53.8,0,,nan,nan,16090041.59
MSOX,AdvisorShares Trust - AdvisorShares MSOS 2x Daily ETF,4.03,16,14,6,16,8,3,4,67,-2.2,65.8,Moderate,Enter w/ caution,55,20.3,38.5,21.0,59.7,2,,nan,nan,2059210.21
ZPTA,Zapata Computing Holdings Inc. Common Stock,1.04,17,8,10,17,7,6,5,70,-6.0,65.0,Moderate,Enter w/ caution,64,15.6,22.4,16.5,70.2,2,,Technology,168596032.0,161764.35
ELOG,Eastern International Ltd.,1.21,21,12,7,15,6,11,5,77,-17.0,65.0,Moderate,Enter w/ caution,46,42.4,47.6,31.5,67.9,2,,Industrials,11548800.0,0.0
CLWT,Euro Tech Holdings Company Ltd,1.23,11,14,6,13,4,4,3,55,4.0,65.0,Moderate,🔥 COILED: Enter w/ caution,32,0.8,1.7,2.1,52.2,0,,Industrials,8597298.0,30580.46
FBASF,Fibra UNO,1.75,11,10,9,12,8,3,3,56,4.0,65.0,Moderate,🔥 COILED: Enter w/ caution,45,2.9,1.2,1.8,53.4,1,,Real Estate,6460956672.0,0.0
EJH,E-Home Household Service Holdings Ltd,1.75,15,12,9,11,8,5,5,65,0.0,65.0,Moderate,Enter w/ caution,57,13.6,14.4,12.0,62.6,2,,Consumer Cyclical,4800231.0,586233.55
BOMXF,Bolsa Mexicana de Valores S.A.B. de C.V,2.15,18,6,9,12,5,6,2,58,2.0,65.0,Moderate,🔥 COILED: Enter w/ caution,62,1.4,1.9,0.3,50.6,0,,Financial Services,1241487872.0,0.0
MGPUF,M&G Plc,4.198,16,4,7,12,6,11,4,60,2.0,65.0,Moderate,Enter w/ caution,64,3.7,1.2,1.5,58.8,0,,Financial Services,10000998400.0,1716.25
KFFB,Kentucky First Federal Bancorp,4.769,15,14,5,16,6,2,5,63,2.0,65.0,Moderate,Enter w/ caution,52,0.0,2.3,4.2,55.7,0,,Financial Services,35662416.0,7808.57
LUNA,Luna Innovations Incorporated,1.16,11,16,7,15,4,4,5,62,-3.0,64.0,Moderate,🔥 COILED: Enter w/ caution,37,-14.1,5.5,2.2,52.5,1,,Technology,52045528.0,47286.67
BFNH,BioForce Nanosciences Holdings Inc,1.58,19,9,5,18,6,10,5,72,-13,64,Moderate,Enter w/ caution,76,139.4,97.5,81.3,70.2,3,10,Consumer Defensive,44284688.0,1165.58
SMHB,ETRACS 2xMonthly Pay Leveraged US Small Cap High Dividend ETN,3.9,12,12,7,12,7,5,2,57,4.0,64.0,Moderate,Enter w/ caution,35,-0.5,5.4,1.0,52.7,1,,nan,nan,24173.0
LGMK,LogicMark Inc,1.05,18,8,8,15,7,11,5,72,-7.0,63.0,Moderate,Enter w/ caution,67,0.0,82.6,35.0,65.1,2,,Healthcare,899759.0,4595.35
HTLM,HomesToLife Ltd,2.14,15,13,4,12,4,7,5,60,-2.0,63.0,Moderate,Enter w/ caution,33,7.0,21.6,14.7,64.5,2,,Consumer Cyclical,172648448.0,133777.91
BNSOF,Bonso Electronics International Inc.,2.43,15,12,3,16,7,4,4,61,-1.0,63.0,Moderate,Enter w/ caution,72,4.3,0.4,2.8,59.4,1,,Technology,11317245.0,735.18
MDXG,MiMedx Group Inc,3.74,12,8,9,13,5,7,4,58,2.0,63.0,Moderate,Enter w/ caution,30,1.6,3.6,2.7,54.8,0,,Healthcare,563014848.0,1055203.36
LOQPF,Accesso Technology Group PLC,4.13,17,9,4,18,6,10,5,69,-11.0,63.0,Moderate,Enter w/ caution,50,18.0,18.0,16.6,94.0,2,,Technology,113372656.0,250.0
CVPBF,CP ALL Public Company Limited,1.55,13,4,9,14,6,8,5,59,0.0,62.0,Moderate,Enter w/ caution,55,0.0,6.9,2.3,57.6,0,,Consumer Defensive,14551009280.0,0.0
SLSN,"Solesence, Inc. Common Stock",1.31,10,13,7,11,7,7,3,58,0.0,61.0,Moderate,Enter w/ caution,44,6.5,4.0,1.6,51.5,1,,Consumer Defensive,88643720.0,38067.4
UHPIX,ULTRASHORT CHINA PROFUND ULTRASHORT CHINA PROFUND INVESTOR CLASS,2.8,17,12,5,9,6,6,5,60,1.0,61.0,Moderate,Enter w/ caution,60,4.5,12.0,10.3,64.7,2,,nan,0.0,0.0
TOI,Oncology Institute Inc,4.87,19,9,5,16,7,6,5,67,-7.0,61.0,Moderate,Enter w/ caution,67,3.8,8.9,11.0,66.6,2,,Healthcare,485417152.0,1953762.62
UHPSX,ULTRASHORT CHINA PROFUND ULTRASHORT CHINA PROFUND SERVICE CLASS,2.46,17,11,5,9,6,6,5,59,1.0,60.0,Moderate,Enter w/ caution,60,4.7,12.3,10.5,65.1,2,,nan,0.0,0.0
GEG,Great Elm Group Inc,2.28,17,12,8,15,7,11,5,75,-17.0,59.0,Moderate,Enter w/ caution,44,6.0,3.6,5.3,66.8,1,,Financial Services,71493976.0,123206.68
PAZRF,Plaza Retail REIT,3.23,14,8,11,8,6,6,3,56,-2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,48,0.0,0.0,0.2,66.3,0,,Real Estate,360533184.0,0.0
SPPIX,SHORT PRECIOUS METALS PROFUND SHORT PRECIOUS METALS PROFUND INVESTOR CLASS,3.24,14,12,10,9,4,7,5,61,-2.0,59.0,Moderate,Enter w/ caution,48,11.3,7.3,8.5,62.9,0,,nan,0.0,0.0
SQZZF,Serica Energy plc,3.4,17,9,8,9,6,4,2,55,1.0,59.0,Moderate,Enter w/ caution,64,4.6,4.6,3.0,62.9,2,,Energy,1562694656.0,1355.0
SPRS,Surge Components Inc,3.54,15,9,4,14,5,2,5,54,0.0,59.0,Moderate,🔥 COILED: Enter w/ caution,62,-1.1,2.6,1.0,53.7,0,,Technology,20237444.0,3183.52
WAINX,WASATCH EMERGING INDIA FUND INVESTOR CLASS SHARES,3.77,10,10,9,9,6,3,2,49,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,36,0.5,0.8,0.5,53.1,0,,nan,0.0,0.0
WIINX,WASATCH EMERGING INDIA FUND INSTITUTIONAL CLASS SHARES,3.87,10,10,9,9,6,3,2,49,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,36,0.5,0.8,0.5,53.1,0,,nan,0.0,0.0
^TNX,CBOE Interest Rate 10 Year T No,4.536,11,12,3,9,8,4,5,52,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,56,1.9,-0.5,1.1,57.6,0,,Other,nan,0.0
TDUP,ThredUp Inc,4.82,14,14,8,14,7,2,3,62,-4.0,59.0,Moderate,Enter w/ caution,40,3.7,8.6,6.8,60.9,2,,Consumer Cyclical,619396096.0,2185186.12
MAAL,The Marketing Alliance Inc,1.6,16,10,3,15,6,4,5,59,-1.0,58.0,Moderate,Enter w/ caution,56,-3.0,26.0,9.8,59.5,2,,Financial Services,11005195.0,0.0
SLFPF,Abrdn PLC,3.09,14,5,9,12,6,4,5,55,0.0,58.0,Moderate,Enter w/ caution,59,0.0,0.0,2.4,59.8,0,,Financial Services,5528461824.0,0.0
RKIGF,Reko International Group Inc,3.0,15,7,10,7,6,2,3,50,0.0,58.0,Moderate,🔥 COILED: Enter w/ caution,49,0.0,0.0,2.1,50.0,0,,Industrials,16452939.0,12.5
SPPSX,SHORT PRECIOUS METALS PROFUND SHORT PRECIOUS METALS PROFUND SERVICE CLASS,3.2,14,12,9,9,4,7,5,60,-2.0,58.0,Moderate,Enter w/ caution,48,11.5,7.4,8.4,62.6,0,,nan,0.0,0.0
